기준,이름,휴대폰번호,이메일,집주소,주민번호,생년월일,직업,카드번호,종교,정치정당,운전면허번호,IP주소,은행계좌번호,신용카드번호,병명(질환),sns계정
2016-07-10,차혜진,053-635-1420,ojang@example.org,전라남도 천안시 서북구 학동0길,230400-1647713,1987-01-11,식품공학 기술자 및 연구원,3581589919733348,무교,민주당,101-772,95.93.128.113,IVGZ24350770925751,3556941605880126,암,mi
2002-10-03,김서연,031-200-2886,qi@example.com,대전광역시 동구 학동05가 (지혜김홍면),310718-2027442,1934-01-03,토목공학 기술자,4505588395693,기타,국민의힘,C86 8QN,9.112.48.33,DLFB50274015634178,5484439912008376,천식,jinho61
2020-05-12,허지현,010-4700-9285,gimjungsu@example.net,인천광역시 서초구 언주거리,710206-2880510,1931-03-21,데이터베이스 개발자,4860920970020418,기독교,정의당,302-LML,85.76.217.250,HXRA74165931829999,4961931567218891,천식,gimyeongsig
2015-08-02,이영식,063-061-7342,byeongceol63@example.org,경기도 인제군 강남대94길,640904-2355485,1978-12-12,외선전공,36841795223929,무교,민주당,KNX 596,80.111.120.184,SZZT15603392669538,4982897957765325966,천식,subini
2012-12-28,엄종수,044-126-2242,eungyeong16@example.net,인천광역시 성동구 가락2길,990627-1398943,2012-02-15,기타 문리/기술 및 예능 강사,630447398482,기독교,민주당,822 DO5,47.55.63.210,MWMR37166443297711,4306257956789191,없음,yeongjai
2011-01-21,남상철,016-857-4569,sanghoi@example.com,인천광역시 용산구 개포로 (진우김면),100425-1490777,1997-02-24,병무행정 사무원,4522362098777302139,기타,기타,332-SGVG,94.191.146.31,VOKG03496178280049,373023923055157,고혈압,eunjeong24
2001-09-12,김재현,053-836-6121,fi@example.org,경상남도 고양시 일산동구 반포대거리 (지은박문동),400404-2957653,1980-03-29,곡물가공제품 기계 조작원,2495540805894121,기타,정의당,6G TN820,104.190.189.165,JFLV14750680349967,2720042018721859,암,ansangho
2016-09-27,정성진,061-563-7886,vryu@example.com,서울특별시 동작구 논현3가 (예원김한동),780115-2504463,1996-08-24,섬유공학 기술자 및 연구원,4213988097932754622,기타,국민의힘,8XK 658,36.24.25.225,FYSI62681325754494,2649765712605824,암,jaehyeongo
2005-03-28,양은정,010-9011-1156,iyujin@example.net,대전광역시 종로구 도산대길,780815-1217229,1957-04-17,수의사,5508215462554148,무교,민주당,3-84034,141.211.102.219,GRGT84633860064607,371789854740049,천식,gimjeonghyi
2015-06-28,최현준,031-222-7912,jimin00@example.net,부산광역시 동구 도산대21거리 (지원김동),650926-2693095,1995-04-15,투자 및 신용 분석가,346378053948157,기독교,정의당,6D379,106.196.222.231,UQBH58143441416829,375455274354649,없음,gimseonghyeon
2002-11-07,김승민,054-526-3038,misug41@example.com,충청북도 안양시 압구정거리 (춘자강최마을),890605-2819771,1938-10-11,보험 및 금융 관리자,30048525443357,기타,정의당,4333 FF,180.51.143.241,DYAU81461039854807,3571169927637005,천식,miyeongseo
2014-05-14,진은지,011-141-9979,coeyunseo@example.org,대구광역시 도봉구 잠실3로,050402-1257956,1986-10-19,환경공학 시험원,6011927273076248,무교,민주당,KUL7749,193.125.102.112,OPDX71514833546462,213105483296521,없음,hyeonjunyun
2023-07-24,황은지,070-0126-6987,hyejingim@example.com,경상북도 가평군 가락04거리,840510-2747803,1985-03-04,구두 미화원,4586629066185919,무교,민주당,108 ELE,143.253.147.240,DNRQ91880962124853,213171197986120,당뇨병,hwangyeji
2023-08-17,장정식,018-352-3017,igim@example.org,전라북도 청양군 선릉로 (경자김구동),370308-1960381,1925-08-14,금속 / 재료공학 시험원,3556749605684459,기타,정의당,3M ZC635,24.144.14.120,VPAM29512932226911,4417119284718761,천식,gimjeonghyi
